시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,관서명,지방청명,경찰서명,구분명,데이터갱신일자,업태구분명,위도,경도
경기도,연천군,연천읍,"41800250",생활편의형SOC,CVNTL,파출소,연천 파출소,CVNTL_20_41800_00217,,경기도 연천군 연천읍 문화로 67-1,경기도 연천군 연천읍 차탄리 649,,경기북부청,연천,파출소,2022-07-11,,38.0996060000,127.0773000000
경기도,연천군,전곡읍,"41800253",생활편의형SOC,CVNTL,파출소,전곡 파출소,CVNTL_20_41800_00218,,경기도 연천군 전곡읍 선사로 410,경기도 연천군 전곡읍 전곡리 328-40,,경기북부청,연천,파출소,2022-07-11,,38.0255900000,127.0736160000
경기도,양평군,양서면,"41830330",생활편의형SOC,CVNTL,파출소,양서 파출소,CVNTL_20_41830_00204,,경기도 양평군 양서면 양수로152번길 6,경기도 양평군 양서면 양수리 559-6,,경기남부청,양평,파출소,2022-07-11,,37.5447960000,127.3192100000
경기도,양평군,지평면,"41830395",생활편의형SOC,CVNTL,파출소,지평 파출소,CVNTL_20_41830_00205,,경기도 양평군 지평면 지평의병로 91,경기도 양평군 지평면 지평리 539,,경기남부청,양평,파출소,2022-07-11,,37.4752460000,127.6361700000
경기도,여주시,대신면,"41670350",생활편의형SOC,CVNTL,파출소,대신 파출소,CVNTL_20_41670_00210,,경기도 여주시 대신면 여양로 1436,경기도 여주시 대신면 율촌리 283-2,,경기남부청,여주,파출소,2022-07-11,,37.3750700000,127.5884700000
경기도,양평군,개군면,"41830410",생활편의형SOC,CVNTL,파출소,개군 파출소,CVNTL_20_41830_00206,,경기도 양평군 개군면 하자포길 25,경기도 양평군 개군면 하자포리 223-1,,경기남부청,양평,파출소,2022-07-11,,37.4253160000,127.5378900000
경기도,여주시,북내면,"41670360",생활편의형SOC,CVNTL,파출소,북내 파출소,CVNTL_20_41670_00212,,경기도 여주시 북내면 여양2로 300,경기도 여주시 북내면 당우리 161-1,,경기남부청,여주,파출소,2022-07-11,,37.3293760000,127.6797500000
경기도,여주시,점동면,"41670310",생활편의형SOC,CVNTL,파출소,점동 파출소,CVNTL_20_41670_00215,,경기도 여주시 점동면 청안로 118,경기도 여주시 점동면 청안리 128-2,,경기남부청,여주,파출소,2022-07-11,,37.2049300000,127.6616800000
경기도,여주시,가남읍,"41670250",생활편의형SOC,CVNTL,파출소,가남 파출소,CVNTL_20_41670_00216,,경기도 여주시 가남읍 태평2길 23,경기도 여주시 가남읍 태평리 176,,경기남부청,여주,파출소,2022-07-11,,37.2036740000,127.5455600000
경기도,연천군,청산면,"41800320",생활편의형SOC,CVNTL,파출소,청산 파출소,CVNTL_20_41800_00220,,경기도 연천군 청산면 평화로 229,경기도 연천군 청산면 초성리 187-7,,경기북부청,연천,파출소,2022-07-11,,37.9940340000,127.0699100000
경기도,연천군,백학면,"41800330",생활편의형SOC,CVNTL,파출소,백학 파출소,CVNTL_20_41800_00221,,경기도 연천군 백학면 청정로 532-1,경기도 연천군 백학면 두일리 367-5,,경기북부청,연천,파출소,2022-07-11,,38.0300900000,126.9170300000
경기도,고양시 덕양구,고양동,"41281116",생활편의형SOC,CVNTL,파출소,고양 파출소,CVNTL_20_41281_00010,,경기도 고양시 덕양구 벽제관로 3,경기도 고양시 덕양구 고양동 444-3,,경기북부청,고양,파출소,2022-07-11,,37.7034030000,126.9039460000
경기도,고양시 덕양구,관산동,"41281118",생활편의형SOC,CVNTL,파출소,관산 파출소,CVNTL_20_41281_00013,,경기도 고양시 덕양구 통일로 782,경기도 고양시 덕양구 관산동 231-17,,경기북부청,고양,파출소,2022-07-11,,37.6882800000,126.8638840000
경기도,과천시,중앙동,"41290107",생활편의형SOC,CVNTL,파출소,과천 파출소,CVNTL_20_41290_00023,,경기도 과천시 관문로 136,경기도 과천시 중앙동 68,,경기남부청,과천,지구대,2022-07-11,,37.4331900000,126.9934100000
