시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,충전소위치 상세,휴점일,이용가능 시작시각,이용가능 종료시각,완속충전 가능여부,급속충전 가능여부,급속충전 타입구분,완속충전기 대수,급속충전기 대수,주차료부과 여부,관리업체명,관리업체 전화번호,데이터 갱신일자,업태구분명,위도,경도
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,정자동2차푸르지오시티,CVNTL_25_41135_00618,,경기도 성남시 분당구 정자일로 197,경기도 성남시 분당구 정자동 16-2,,,,,,,,,,,이카플러그,,2022-07-11,,37.3678500000,127.1055300000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,정자두산위브파빌리온,CVNTL_25_41135_00600,,경기도 성남시 분당구 성남대로 393,경기도 성남시 분당구 정자동 7,,,,,,,,,,,케이티,,2022-07-11,,37.3716050000,127.1071900000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,백궁동양파라곤,CVNTL_25_41135_00601,,경기도 성남시 분당구 느티로 22,경기도 성남시 분당구 정자동 17-2,,,,,,,,,,,케이티,,2022-07-11,,37.3694900000,127.1064300000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,한솔마을한일아파트(중앙주차장),CVNTL_25_41135_00602,,경기도 성남시 분당구 백현로 234,경기도 성남시 분당구 정자동 107,,,,,,,,,,,케이티,,2022-07-11,,37.3668940000,127.1205900000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,정자동로얄팰리스(지하2층),CVNTL_25_41135_00603,,경기도 성남시 분당구 성남대로 449,경기도 성남시 분당구 정자동 28-1,,,,,,,,,,,케이티,,2022-07-11,,37.3751370000,127.1107940000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,성남시 정자동 주민센터,CVNTL_25_41135_00605,,경기도 성남시 분당구 황새울로18번길 14,경기도 성남시 분당구 정자동 147,,,,,,,,,,,차지비,,2022-07-11,,37.3614540000,127.1115400000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,분당경찰서,CVNTL_25_41135_00606,,경기도 성남시 분당구 정자일로 165,경기도 성남시 분당구 정자동 160,,,,,,,,,,,에스트래픽,,2022-07-11,,37.3650780000,127.1054100000
경기도,성남시 분당구,정자동,"41135103",생활편의형SOC,CVNTL,전기충전소,성남시 정자2동 주민센터,CVNTL_25_41135_00607,,경기도 성남시 분당구 내정로 66,경기도 성남시 분당구 정자동 118,,,,,,,,,,,차지비,,2022-07-11,,37.3659440000,127.1151350000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,전기충전소,홈플러스 영통점,CVNTL_25_41117_00757,,경기도 수원시 영통구 봉영로 1576,경기도 수원시 영통구 영통동 994-2,,,,,,,,,,,한국전력,,2022-07-11,,37.2518120000,127.0726000000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,전기충전소,수원시 영통2동 주민센터,CVNTL_25_41117_00758,,경기도 수원시 영통구 영통로217번길 12,경기도 수원시 영통구 영통동 977-3,,,,,,,,,,,차지비,,2022-07-11,,37.2469000000,127.0563000000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,전기충전소,수원시 영통1동 주민센터,CVNTL_25_41117_00759,,경기도 수원시 영통구 봉영로1759번길 23,경기도 수원시 영통구 영통동 947-6,,,,,,,,,,,차지비,,2022-07-11,,37.2662800000,127.0805200000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,전기충전소,영통공영주차장,CVNTL_25_41117_00760,,경기도 수원시 영통구 봉영로 1598,경기도 수원시 영통구 영통동 995-3,,,,,,,,,,,한국전력,,2022-07-11,,37.2533000000,127.0739400000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,전기충전소,롯데마트 영통점,CVNTL_25_41117_00761,,경기도 수원시 영통구 봉영로 1579,경기도 수원시 영통구 영통동 960-1,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.2527300000,127.0716550000
경기도,수원시 영통구,영통동,"41117105",생활편의형SOC,CVNTL,전기충전소,롯데마트 영통점,CVNTL_25_41117_00762,,경기도 수원시 영통구 봉영로 1579,경기도 수원시 영통구 영통동 960-1,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.2527300000,127.0716550000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,수원시청소년문화센터,CVNTL_25_41115_00824,,경기도 수원시 팔달구 권광로 293,경기도 수원시 팔달구 인계동 333,,,,,,,,,,,한국전력,,2022-07-11,,37.2739700000,127.0349000000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,홈플러스 동수원점,CVNTL_25_41115_00817,,경기도 수원시 팔달구 효원로 257,경기도 수원시 팔달구 인계동 1045,,,,,,,,,,,환경부(한국자동차환경협회),,2022-07-11,,37.2627600000,127.0301100000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,한국국토정보공사 경기지역본부,CVNTL_25_41115_00819,,경기도 수원시 팔달구 인계로 170,경기도 수원시 팔달구 인계동 1116,,,,,,,,,,,대영채비,,2022-07-11,,37.2660000000,127.0359200000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,수원시청,CVNTL_25_41115_00821,,경기도 수원시 팔달구 효원로 241,경기도 수원시 팔달구 인계동 1111,,,,,,,,,,,한국전력,,2022-07-11,,37.2636340000,127.0287250000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,수원시청 별관,CVNTL_25_41115_00823,,경기도 수원시 팔달구 효원로 241,경기도 수원시 팔달구 인계동 1111,,,,,,,,,,,케이티,,2022-07-11,,37.2636340000,127.0287250000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,경기수원 윌스기념병원,CVNTL_25_41115_00818,,경기도 수원시 팔달구 경수대로 437,경기도 수원시 팔달구 인계동 994-3,,,,,,,,,,,에버온,,2022-07-11,,37.2651560000,127.0254800000
경기도,수원시 팔달구,인계동,"41115141",생활편의형SOC,CVNTL,전기충전소,수원롯데렌트카,CVNTL_25_41115_00822,,경기도 수원시 팔달구 인계로 123,경기도 수원시 팔달구 인계동 468,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.2691400000,127.0319440000
경기도,성남시 수정구,산성동,"41131105",생활편의형SOC,CVNTL,전기충전소,단대주유소,CVNTL_25_41131_00649,,경기도 성남시 수정구 희망로 530,경기도 성남시 수정구 산성동 2172,,,,,,,,,,,SK에너지,,2022-07-11,,37.4508130000,127.1518300000
경기도,성남시 수정구,산성동,"41131105",생활편의형SOC,CVNTL,전기충전소,성남시 산성동 주민센터,CVNTL_25_41131_00650,,경기도 성남시 수정구 수정남로 261,경기도 성남시 수정구 산성동 2136,,,,,,,,,,,차지비,,2022-07-11,,37.4521450000,127.1500300000
경기도,성남시 수정구,산성동,"41131105",생활편의형SOC,CVNTL,전기충전소,산성역 환승주차장,CVNTL_25_41131_00639,,경기도 성남시 수정구 수정로366번길 7,경기도 성남시 수정구 산성동 6,,,,,,,,,,,한국전기차충전서비스,,2022-07-11,,37.4566600000,127.1507300000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,매탄현대힐스테이트아파트,CVNTL_25_41117_00763,,경기도 수원시 영통구 권광로260번길 36,경기도 수원시 영통구 매탄동 176,,,,,,,,,,,케이티,,2022-07-11,,37.2712550000,127.0396650000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,영통구청,CVNTL_25_41117_00768,,경기도 수원시 영통구 효원로 407,경기도 수원시 영통구 매탄동 1268,,,,,,,,,,,수원시,,2022-07-11,,37.2593420000,127.0465400000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,수원매탄임광아파트,CVNTL_25_41117_00764,,경기도 수원시 영통구 동수원로 316,경기도 수원시 영통구 매탄동 1162,,,,,,,,,,,케이티,,2022-07-11,,37.2573550000,127.0380500000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,수원시 매탄3동 주민센터,CVNTL_25_41117_00765,,경기도 수원시 영통구 동탄원천로881번길 76,경기도 수원시 영통구 매탄동 1279-1,,,,,,,,,,,차지비,,2022-07-11,,37.2563800000,127.0430700000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,수원시 매탄4동 행정복지센터,CVNTL_25_41117_00766,,경기도 수원시 영통구 산남로 26-4,경기도 수원시 영통구 매탄동 232-2,,,,,,,,,,,차지비,,2022-07-11,,37.2650450000,127.0486600000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,수원시 매탄1동 주민센터,CVNTL_25_41117_00767,,경기도 수원시 영통구 인계로189번길 119,경기도 수원시 영통구 매탄동 176-4,,,,,,,,,,,차지비,,2022-07-11,,37.2705040000,127.0405350000
경기도,수원시 영통구,매탄동,"41117101",생활편의형SOC,CVNTL,전기충전소,기아오토큐 밀코동수원서비스,CVNTL_25_41117_00769,,경기도 수원시 영통구 매영로 142,경기도 수원시 영통구 매탄동 296-4,,,,,,,,,,,에스트래픽,,2022-07-11,,37.2659840000,127.0576900000
