시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,데이터갱신일자,업태구분명,위도,경도
경기도,고양시 일산서구,대화동,"41287104",생활편의형SOC,CVNTL,무인택배함,고양안심무인택배함(대화도서관),CVNTL_19_41287_00024,,경기도 고양시 일산서구 일산로 689,경기도 고양시 일산서구 대화동 2103,"4:00","3:00","4:00","3:00","4:00","3:00","48",24,1000,"1",택배 주문 시 택배함 주소로 주문 후 도착 시 인증번호 입력 후 찾기,대형/01+중형/02,"01/20+02/5","01/20+02/5","01/20+02/5","01/20+02/5",2020-06-01,"1899-4711",2022-07-11,,37.6810230000,126.7539400000
경기도,안산시 상록구,이동,"41271102",생활편의형SOC,CVNTL,무인택배함,이동행정복지센터,CVNTL_19_41271_00075,,경기도 안산시 상록구 이동로 46,경기도 안산시 상록구 이동 578-12,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,"01/1+02/12+03/1+04/6","01/60+02/60+03/60+04/60","01/50+02/50+03/50+04/50","01/90+02/30+03/60+04/20",2018-05-01,"1577-1545",2022-07-11,,37.3053860000,126.8607560000
경기도,구리시,수택동,"41310105",생활편의형SOC,CVNTL,무인택배함,여성안심무인택배보관함 (구리시여울목공원),CVNTL_19_41310_00033,,경기도 구리시 검배로9번길 21,경기도 구리시 수택동 526-2,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"2","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02,"01/4+02/16","01/60+02/60","01/50+02/50","01/45+02/23",2017-12-11,"1899-4711",2022-07-11,,37.6009980000,127.1425860000
경기도,수원시 팔달구,교동,"41115132",생활편의형SOC,CVNTL,무인택배함,수원시가족여성회관,CVNTL_19_41115_00062,,경기도 수원시 팔달구 매산로 119,경기도 수원시 팔달구 교동 74-1,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/2+03/8","02/55+03/55","02/45+03/45","02/60+03/30",2019-06-14,"1899-4711",2022-07-11,,37.2715950000,127.0133200000
경기도,수원시 권선구,세류동,"41113126",생활편의형SOC,CVNTL,무인택배함,버드내도서관,CVNTL_19_41113_00051,,경기도 수원시 권선구 세권로94번길 29,경기도 수원시 권선구 세류동 503-2,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/3+03/12","02/55+03/55","02/45+03/45","02/60+03/30",2017-01-01,"1899-4711",2022-07-11,,37.2568200000,127.0147800000
경기도,평택시,비전동,"41220118",생활편의형SOC,CVNTL,무인택배함,비전2동 행복복지센터,CVNTL_19_41220_00098,,경기도 평택시 중앙로 261,경기도 평택시 비전동 849,"0:00","24:00:00","0:00","24:00:00","0:00","24:00:00","48",48,1000,"2","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중소형/03,"03월 10일","03/60","03/120","03/305",2019-08-20,"1600-5136",2022-07-11,,36.9903500000,127.1118600000
경기도,안산시 단원구,와동,"41273102",생활편의형SOC,CVNTL,무인택배함,와동종합사회복지관,CVNTL_19_41273_00071,,경기도 안산시 단원구 와동로 118,경기도 안산시 단원구 와동 111-4,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,"01/1+02/12+03/1+04/6","01/60+02/60+03/60+04/60","01/50+02/50+03/50+04/50","01/90+02/30+03/60+04/20",2017-04-19,"1577-1545",2022-07-11,,37.3405950000,126.8272600000
경기도,수원시 권선구,권선동,"41113137",생활편의형SOC,CVNTL,무인택배함,권선1동 행정복지센터,CVNTL_19_41113_00052,,경기도 수원시 권선구 경수대로352번길 29,경기도 수원시 권선구 권선동 1034-5,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/4+03/16","02/55+03/55","02/45+03/45","02/60+03/30",2017-01-01,"1899-4711",2022-07-11,,37.2576800000,127.0245700000
경기도,성남시 중원구,하대원동,"41133109",생활편의형SOC,CVNTL,무인택배함,하대원동 행정복지센터,CVNTL_19_41133_00045,,경기도 성남시 중원구 둔촌대로 252,경기도 성남시 중원구 하대원동 145-1,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령,중형/02+소형/03+초소형/04,"02/2+03/13+04/6","02/60+03/60+04/60","02/50+03/50+04/50","02/60+03/30+04/20",2018-02-01,"1577-1545",2022-07-11,,37.4282460000,127.1463850000
경기도,성남시 중원구,금광동,"41133103",생활편의형SOC,CVNTL,무인택배함,금광2동 행정복지센터,CVNTL_19_41133_00046,,경기도 성남시 중원구 광명로 345,경기도 성남시 중원구 금광동 3657,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령,대형/01+중형/02+초소형/04,"01/1+02/1+04/10","01/60+02/60+04/60","01/50+02/50+04/50","01/90+02/60+04/20",2014-06-01,"1577-1545",2022-07-11,,37.4461800000,127.1640000000
경기도,수원시 장안구,율전동,"41111132",생활편의형SOC,CVNTL,무인택배함,율천동 행정복지센터,CVNTL_19_41111_00058,,경기도 수원시 장안구 서부로2106번길 27,경기도 수원시 장안구 율전동 433-2,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/4+03/16","02/55+03/55","02/45+03/45","02/60+03/30",2017-01-01,"1899-4711",2022-07-11,,37.2975500000,126.9714100000
경기도,수원시 장안구,파장동,"41111129",생활편의형SOC,CVNTL,무인택배함,파장동 행정복지센터,CVNTL_19_41111_00059,,경기도 수원시 장안구 파장천로 60,경기도 수원시 장안구 파장동 381,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,1000,"1","물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여,해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+중소형/03,"02/4+03/16","02/55+03/55","02/45+03/45","02/60+03/30",2017-01-01,"1899-4711",2022-07-11,,37.3101200000,126.9974200000
경기도,성남시 수정구,수진동,"41131103",생활편의형SOC,CVNTL,무인택배함,수진1동 행정복지센터,CVNTL_19_41131_00036,,경기도 성남시 수정구 탄리로 19,경기도 성남시 수정구 수진동 1967,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령,대형/01+중형/02+초소형/04,"01/1+02/1+04/10","01/60+02/60+04/60","01/50+02/50+04/50","01/90+02/60+04/20",2016-02-01,"1577-1545",2022-07-11,,37.4385760000,127.1390100000
경기도,성남시 수정구,수진동,"41131103",생활편의형SOC,CVNTL,무인택배함,수진2동 행정복지센터,CVNTL_19_41131_00037,,경기도 성남시 수정구 성남대로 1204,경기도 성남시 수정구 수진동 3988,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령,중형/02+소형/03+초소형/04,"02/2+03/13+04/6","02/60+03/60+04/60","02/50+03/50+04/50","02/60+03/30+04/20",2018-02-01,"1577-1545",2022-07-11,,37.4373630000,127.1287300000
경기도,성남시 중원구,은행동,"41133104",생활편의형SOC,CVNTL,무인택배함,은행2동 행정복지센터,CVNTL_19_41133_00047,,경기도 성남시 중원구 은이로 21,경기도 성남시 중원구 은행동 1032,"0:00","23:59","0:00","23:59","0:00","23:59","48",24,500,"1",물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령,중형/02+소형/03+초소형/04,"02/1+03/9+04/6","02/60+03/60+04/60","02/50+03/50+04/50","02/60+03/30+04/20",2014-06-01,"1577-1545",2022-07-11,,37.4571000000,127.1665600000
